Scene,Node Name,Text ID,Localize?,Scale X,Scale Y,Scroll Rate,Scroll Delay,Horizontal Alignment,Vertical Alignment,Multiline,Font,Is Help Text
testButtons,Text_LCS_01,Memory,1,0.1,0.1,0,0,C,C,0,0,0
testButtons,Text_LCS_02,Settings,1,0.1,0.1,0,0,C,C,0,0,0
testButtons,Text_LCS_03,Music,1,0.1,0.1,0,0,C,C,0,0,0
oneText,Text_LCS_01,Done,1,0.1,0.1,0,0,C,C,0,0,0
twoText,Text_LCS_01,Done,1,0.1,0.1,0,0,C,C,0,0,0
twoText,Text_LCS_02,SYMBOLS,1,0.1,0.1,0,0,C,C,0,0,0
threeText,Text_LCS_01,Done,1,0.1,0.1,0,0,C,C,0,0,0
threeText,Text_LCS_02,SYMBOLS,1,0.1,0.1,0,0,C,C,0,0,0
threeText,Text_LCS_03,SHIFT,1,0.1,0.1,0,0,C,C,0,0,0
keyboard,Text_DONE,DONE,1,0.08,0.08,0,0,C,C,0,0,0
keyboard,Text_ACCENTS,ACCENTS,1,0.08,0.08,0,0,C,C,0,0,0
keyboard,Text_SHIFT,SHIFT,1,0.08,0.08,0,0,C,C,0,0,0
keyboard,Text_SYMBOLS,SYMBOLS,1,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_RCS_NAME_SOUNDTRACK,SHIFT,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_SPACE,SPACE,1,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_BACKSPACE,BACKSPACE,1,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_<,LEFT_SHIFT,1,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_>,RIGHT_SHIFT,1,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_NAMESOUNDTRACK,Done,1,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_CAPSLOCK,CAPS_LOCK,1,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_ENTRY,Done,1,0.08,0.08,0,0,L,C,0,0,0
keyboard,TEXT_CAPSLOCK,CAPS_LOCK,1,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_01,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_02,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_03,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_04,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_05,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_06,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_07,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_08,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_09,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_10,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_11,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_12,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_13,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_14,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_15,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_16,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_17,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_18,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_19,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_20,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_21,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_22,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_23,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_24,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_25,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_26,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_27,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_28,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_29,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_30,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_31,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_32,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_33,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_34,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_35,ONE,0,0.08,0.08,0,0,C,C,0,0,0
keyboard,TEXT_36,ONE,0,0.08,0.08,0,0,C,C,0,0,0
smallkeyboard,Text_CCS_SYMBOLS,SYMBOLS,1,0.1,0.1,0,0,C,C,0,0,0
smallkeyboard,TEXT_RCS_NAME_SOUNDTRACK,SHIFT,0,0.1,0.1,0,0,C,C,0,0,0
smallkeyboard,TEXT_CCS_SPACE,SPACE,1,0.1,0.1,0,0,C,C,0,0,0
smallkeyboard,TEXT_CCS_BACKSPACE,BACKSPACE,1,0.1,0.1,0,0,C,C,0,0,0
